식품명,에너지(㎉),탄수화물(g),단백질(g),지방(g),총당류(g),나트륨(㎎)
가지무침,17.95,2.09,0.71,0.75,1.17,137.08
간장게장,155.4,15.09,17.56,2.76,10.53,2722.89
갈비구이,989.15,26.2,60.1,71.6,13.9,1378.45
갈비찜,581.39,22.33,39.86,36.96,0.39,1432.59
갈비탕,363.24,2.68,57,13.83,0.77,1330.59
갈치구이,275.69,1.2,43.07,10.95,0,594.47
갈치조림,100.82,6.16,12.72,2.81,6.29,567.55
감자전,265.62,33.58,3.43,13.07,3.62,586.57
감자조림,56.79,9.05,1.2,1.76,3.84,243.52
감자채볶음,100.18,12.41,1.75,4.84,3.37,318.41
감자탕,375.69,12.03,33.43,21.54,0,1739.85
갓김치,16.53,1.88,1.03,0.54,0.47,175.22
건새우볶음,60.83,1.08,8.31,2.59,0.81,310.78
경단,319.47,74.22,4.44,0.54,26.64,180
고등어구이,551.8,0.4,47.65,39.95,0.45,1210
고등어조림,141.01,4.1,11.25,8.84,3.39,389.57
고사리나물,44.97,3.14,1.89,2.76,0.25,220.71
고추튀김,202,14.6,7.6,12.6,2.3,249.15
곰탕_설렁탕,118.37,1.8,21.3,2.88,0,109.78
곱창구이,275.96,7.07,22.33,17.59,1.67,1971.87
김밥,322.56,45.95,11.14,10.47,0,705.16
김치볶음밥,550.64,51.93,17.56,30.3,45.85,1549.8
김치전,201.08,28.51,7.58,6.3,6.32,360.13
김치찌개,243.03,11.93,15.07,15,3.02,1962.14
깍두기,16.4,2.12,0.78,0.53,1.27,403.75
깻잎장아찌,20.18,3.11,0.41,0.68,0.71,317.18
꼬막찜,192.87,13.93,24.06,4.55,2.06,1472.19
꽁치조림,243.51,5.14,15.52,17.87,4.05,349.67
꿀떡,228.48,49.48,3.74,1.73,0.29,275.08
나박김치,9.82,1.15,0.46,0.38,0.34,377.45
달걀국,52.37,2.74,3.73,2.94,0,984.54
달걀말이,193.49,1.45,17.21,13.21,0,449.07
달걀찜,209.74,7.59,16.45,12.62,5.09,523.51
달걀프라이,124.53,3.09,9.44,8.27,0.02,96.71
닭갈비,595.61,44.9,45.9,25.8,21.2,1535.83
닭볶음탕,332.04,25.57,35.74,9.65,1.25,1129.49
더덕구이,184,31.1,3.1,5.2,11.6,743.37
도라지무침,65.04,6.56,1.24,3.76,0.45,205.51
도토리묵,45.6,10.38,0.29,0.32,0.43,124.15
동그랑땡,309.2,12.68,19.62,20,0.98,553.09
동태전,268.05,10.54,22.64,15.04,0.22,702.16
동태찌개,87.22,3.44,12.22,2.73,0.25,546.61
된장찌개,91.91,8.87,6.76,3.26,0,635.98
두부김치,288.21,14.08,19.47,17.11,1.49,989.69
두부조림,71.55,2.2,4.82,4.83,1.82,80.66
땅콩조림,96.52,3.99,3.75,7.28,1.97,114.74
떡갈비,403.4,4.92,42.76,23.63,0.79,807.59
떡국_만두국,666.99,92.83,21.18,23.44,0.07,1236.89
떡볶이,260.02,46.72,6.31,5.32,7.92,703.12
라면,450.91,75.08,9.48,12.52,0,1559.21
라볶이,268.47,40.28,5.66,9.41,1.88,622.28
막국수,799.33,143.37,34.81,9.63,29.28,2427.15
만두,397.27,39.79,19.05,17.99,0,800.92
매운탕,211.37,15.08,29.07,3.86,2.69,2208.53
멸치볶음,138,6.81,19.72,3.54,5.8,1303.05
무국,61.53,4.38,5.3,2.54,0,662
무생채,73.54,10.99,3.64,1.67,2.67,1232.22
물냉면,383.98,72.15,13.75,4.49,31.63,1128.25
물회,529.36,55.3,34.4,18.9,20,2095.9
미역국,46.36,3.49,2.58,2.45,1.08,670.7
미역줄기볶음,61.43,3.88,0.77,4.76,0.44,404.01
배추김치,10.66,1.27,0.68,0.31,0.95,123.03
백김치,16.56,2.06,0.92,0.51,0.7,402.65
부추김치,23.33,3.18,1.34,0.58,2.04,380.66
북엇국,111.03,3.36,15.56,3.93,0.46,929.98
불고기,395.29,7.8,34.4,25.2,7.9,560.71
비빔냉면,499.16,66.74,28.33,13.21,20.1,887.31
비빔밥,637.54,84.76,30.89,19.44,0.22,1041.85
삼겹살,933.52,0.69,45.11,83.37,0,1152.79
삼계탕,911.39,34.57,96.09,43.19,4.03,736.67
새우볶음밥,635.75,84.54,23.33,22.7,2.63,538.64
새우튀김,430.34,28.44,25.52,23.84,0.13,728.56
소세지볶음,559.51,28.82,23.88,38.75,11.66,1773.53
송편,224.15,44.96,4.92,2.74,1.15,231.82
수육,936.89,7.05,59.65,74.46,7.21,121.28
수정과,133,20.34,0.6,5.47,20.69,9.72
수제비,378.28,72.04,14.99,3.35,0,925.17
숙주나물,17.5,1.48,1.11,0.79,0.79,201.52
순대,410.53,78.6,6.04,8,3.06,1327.97
순두부찌개,85.54,2.61,9.06,4.32,1.19,426.64
시금치나물,34.28,1.68,1.87,2.23,0.05,68.12
시래기국,99,11,6.7,3.1,1.3,1523.66
식혜,130.14,24.32,2.3,2.63,17.04,3.38
알밥,422.13,51.99,15.61,16.86,7.6,1418.08
애호박볶음,29.52,2.65,0.66,1.81,0.21,223.39
약과,119.73,25.47,1.26,1.43,5.07,17.19
약식,219.87,45.24,4.21,2.45,13.24,221.18
양념게장,193.49,25.21,20.45,1.21,17.53,1608.01
양념치킨,552,42.3,35.5,26.8,12.5,805.49
어묵볶음,275.24,34.06,11.78,10.21,8.84,1144.7
연근조림,87.19,14.71,1.34,2.55,1.39,330.58
열무국수,431,69.6,15,10.2,18.6,3007.45
열무김치,10.71,0.86,0.72,0.49,0.17,194.47
오이소박이,32.38,4.43,1.73,0.86,3.4,541.03
오징어채볶음,59.52,4.07,4.09,2.99,4.92,263.9
오징어튀김,505.71,33.65,18.56,32.99,0.5,504.99
우엉조림,56.54,10.44,1.44,1,8.53,352.17
유부초밥,388.54,59.63,11.56,11.53,3.97,771.26
육개장,130.33,6.54,16.21,4.37,3.33,884.24
육회,195.06,12.18,14.9,9.64,7.93,627.01
잔치국수,310.2,56.34,13.53,3.41,0.3,1514.59
잡곡밥,292.6,58.65,10.59,1.74,0.64,5.29
잡채,291.15,48.52,9.41,6.6,1.45,719.68
장어구이,433.35,8.8,30.77,30.56,4.18,704.64
장조림,68.76,4.84,10.41,0.86,1,543.47
전복죽,317.19,38.49,7.27,14.9,0,631.68
젓갈,6.89,0.6,0.71,0.18,0.05,740.2
제육볶음,487.98,11.82,30.37,35.47,0.94,1251.93
조개구이,234.13,18.79,31.38,3.72,6.48,817.83
조기구이,318.2,0.79,34.8,19.54,0,2456.07
족발,582.68,2.32,65.09,34.78,0,861.47
주꾸미볶음,211.41,22.82,18.33,5.2,5.06,918.86
주먹밥,355.16,69.45,9.52,4.36,0.45,713.2
짜장면,529.18,86.22,16.15,13.3,36.43,1843.68
짬뽕,464.46,66.06,22.3,12.34,12.52,1446.06
쫄면,706.96,127.91,17.68,13.84,19.32,1377.01
찜닭,1364.21,139.5,114.2,38.8,66.8,5462.32
총각김치,22.89,3.57,0.98,0.52,1.34,332
추어탕,188.33,10.74,11.33,11.12,0,861.28
칼국수,540.65,104.28,23.09,3.46,0,1542
코다리조림,86.06,4.16,16.46,0.4,3.67,465.52
콩국수,651.57,71.37,31.2,26.81,1.95,532.23
콩나물국,24.66,2.44,2.95,0.35,0.65,874.4
콩나물무침,34.54,1.6,1.93,2.27,0.25,193.59
파김치,13.32,1.26,0.77,0.58,0.45,259.16
파전,292.8,34.81,6.83,14.03,0.79,345.96
피자,548.05,51.07,21.35,28.71,9.69,882.61
한과,119.73,25.47,1.26,1.43,5.07,17.19
해물찜,400.08,35.4,42.6,9.8,5.5,2137.21
호박전,208.1,16.1,6.48,13.09,2.85,276.95
호박죽,197.52,26.3,7.7,6.84,14.24,167.39
홍어무침,198.94,25.95,17.85,2.63,14.46,802.04
황태구이,437.57,26.9,47.8,15.4,14.2,1135.33
회무침,203.95,21.5,20.22,4.12,11.33,686.98
후라이드치킨,530.04,21.29,35.47,33.67,0,386.81
훈제오리,797.14,12.08,43.06,64.07,0.27,1220.37
